food_code,main_food_description,wweia_category_description,energy_(kcal),protein_(g),carbohydrate_(g),"sugars,_total_(g)","fiber,_total_dietary_(g)",total_fat_(g),"fatty_acids,_total_saturated_(g)","fatty_acids,_total_monounsaturated_(g)","fatty_acids,_total_polyunsaturated_(g)",cholesterol_(mg)
11100000,"Milk, NFS","Milk, reduced fat",52,3.33,4.83,4.88,0.0,2.14,1.249,0.458,0.07,9
11111000,"Milk, whole","Milk, whole",61,3.27,4.63,4.81,0.0,3.2,1.86,0.688,0.108,12
11112110,"Milk, reduced fat (2%)","Milk, reduced fat",50,3.36,4.9,4.89,0.0,1.9,1.11,0.4,0.058,8
11112210,"Milk, low fat (1%)","Milk, lowfat",43,3.38,5.18,4.96,0.0,0.95,0.568,0.21,0.032,5
11113000,"Milk, fat free (skim)","Milk, nonfat",34,3.43,4.92,5.05,0.0,0.08,0.049,0.017,0.006,3
11114300,"Milk, lactose free, low fat (1%)","Milk, lowfat",43,3.38,5.18,4.96,0.0,0.95,0.568,0.21,0.032,5
11114320,"Milk, lactose free, fat free (skim)","Milk, nonfat",34,3.43,4.92,5.05,0.0,0.08,0.049,0.017,0.006,3
11114330,"Milk, lactose free, reduced fat (2%)","Milk, reduced fat",50,3.36,4.9,4.89,0.0,1.9,1.11,0.4,0.058,8
11114350,"Milk, lactose free, whole","Milk, whole",61,3.27,4.63,4.81,0.0,3.2,1.86,0.688,0.108,12
11115300,Buttermilk,"Milk, whole",43,3.46,4.81,5.36,0.0,1.08,0.552,0.199,0.033,5
11115400,Kefir,"Milk, lowfat",52,3.59,7.48,6.91,0.0,0.96,0.596,0.286,0.047,5
11116000,Goat milk,"Milk, whole",69,3.56,4.45,4.45,0.0,4.14,2.667,1.109,0.149,11
11120000,"Milk, dry, reconstituted, nonfat","Milk, nonfat",32,3.2,4.6,4.6,0.0,0.07,0.044,0.018,0.003,2
11121100,"Milk, dry, reconstituted, whole","Milk, whole",76,4.01,5.86,5.86,0.0,4.08,2.554,1.209,0.101,15
11210050,"Milk, evaporated, NS as to fat content","Milk, whole",134,6.81,10.04,10.04,0.0,7.56,4.591,2.335,0.245,29
11211050,"Milk, evaporated, whole","Milk, whole",134,6.81,10.04,10.04,0.0,7.56,4.591,2.335,0.245,29
11211400,"Milk, evaporated, reduced fat (2%)","Milk, reduced fat",92,7.42,11.15,11.15,0.0,1.96,1.214,0.569,0.071,8
11212050,"Milk, evaporated, fat free (skim)","Milk, nonfat",78,7.55,11.35,11.35,0.0,0.2,0.121,0.062,0.006,4
11220000,"Milk, condensed, sweetened","Flavored milk, whole",321,7.91,54.4,54.4,0.0,8.7,5.486,2.427,0.337,34
11300100,"Non-dairy milk, NFS",Plant-based milk,31,1.14,3.04,2.03,0.1,1.6,0.159,0.782,0.509,0
11320000,"Soy milk, sweetened",Plant-based milk,53,3.41,5.22,4.53,0.0,2.05,0.301,0.399,1.104,0
11320100,"Soy milk, unsweetened",Plant-based milk,38,3.55,1.29,0.56,0.0,2.12,0.314,0.416,1.15,0
11321000,"Soy milk, chocolate",Plant-based milk,64,3.35,8.32,7.49,0.1,2.03,0.315,0.399,1.068,0
11350000,"Almond milk, sweetened",Plant-based milk,30,0.53,4.31,3.99,0.0,1.18,0.1,0.7,0.265,0
11350010,"Almond milk, chocolate",Plant-based milk,43,0.57,7.44,6.97,0.1,1.2,0.121,0.69,0.257,0
11350020,"Almond milk, unsweetened",Plant-based milk,15,0.55,0.34,0.0,0.0,1.22,0.104,0.729,0.276,0
11350040,"Almond milk, NFS",Plant-based milk,20,0.54,1.53,1.2,0.0,1.21,0.103,0.72,0.273,0
11360000,Rice milk,Plant-based milk,47,0.28,9.17,5.28,0.3,0.97,0.0,0.625,0.313,0
11360200,Oat milk,Plant-based milk,45,0.66,5.37,2.04,0.5,2.33,0.187,1.349,0.62,0
11370000,Coconut milk,Plant-based milk,31,0.21,2.92,2.5,0.0,2.08,2.083,0.0,0.0,0
11400000,"Yogurt, NFS","Yogurt, regular",94,6.67,10.22,8.05,0.1,2.87,1.626,0.665,0.254,11
11400010,"Yogurt, Greek, NS as to type of milk or flavor","Yogurt, Greek",91,9.11,10.78,8.21,0.1,1.33,0.715,0.329,0.047,7
11410000,"Yogurt, NS as to type of milk or flavor","Yogurt, regular",93,4.57,15.69,12.84,0.2,1.34,0.861,0.372,0.038,5
11411010,"Yogurt, NS as to type of milk, plain","Yogurt, regular",63,5.25,7.04,7.04,0.0,1.55,1.0,0.426,0.044,6
11411100,"Yogurt, whole milk, plain","Yogurt, regular",78,3.82,5.57,4.09,0.0,4.48,2.32,0.874,0.092,14
11411200,"Yogurt, low fat milk, plain","Yogurt, regular",63,5.25,7.04,7.04,0.0,1.55,1.0,0.426,0.044,6
11411300,"Yogurt, nonfat milk, plain","Yogurt, regular",50,4.23,8.08,7.68,0.0,0.09,0.116,0.049,0.005,3
11411390,"Yogurt, Greek, NS as to type of milk, plain","Yogurt, Greek",67,10.2,3.6,3.24,0.0,1.36,0.726,0.33,0.048,8
11411400,"Yogurt, Greek, whole milk, plain","Yogurt, Greek",94,8.78,4.75,3.25,0.0,4.39,2.39,0.958,0.469,17
11411410,"Yogurt, Greek, low fat milk, plain","Yogurt, Greek",67,10.2,3.6,3.24,0.0,1.36,0.726,0.33,0.048,8
11411420,"Yogurt, Greek, nonfat milk, plain","Yogurt, Greek",59,10.3,3.64,3.27,0.0,0.37,0.108,0.043,0.011,5
11430000,"Yogurt, NS as to type of milk, fruit","Yogurt, regular",93,4.57,15.69,12.84,0.2,1.34,0.861,0.372,0.038,5
11431000,"Yogurt, whole milk, fruit","Yogurt, regular",106,3.34,14.43,10.31,0.2,3.86,1.997,0.757,0.079,12
11432000,"Yogurt, low fat milk, fruit","Yogurt, regular",93,4.57,15.69,12.84,0.2,1.34,0.861,0.372,0.038,5
11433000,"Yogurt, nonfat milk, fruit","Yogurt, regular",46,3.64,7.64,7.09,0.0,0.08,0.1,0.043,0.004,3
11433990,"Yogurt, Greek, NS as to type of milk, fruit","Yogurt, Greek",91,9.11,10.78,8.21,0.1,1.33,0.715,0.329,0.047,7
11434000,"Yogurt, Greek, whole milk, fruit","Yogurt, Greek",114,7.85,11.8,8.23,0.1,3.91,2.128,0.857,0.417,15
11434010,"Yogurt, Greek, low fat milk, fruit","Yogurt, Greek",91,9.11,10.78,8.21,0.1,1.33,0.715,0.329,0.047,7
11434020,"Yogurt, Greek, nonfat milk, fruit","Yogurt, Greek",83,9.21,10.81,8.24,0.1,0.34,0.097,0.042,0.01,4
11434090,"Yogurt, NS as to type of milk, flavors other than fruit","Yogurt, regular",82,4.51,13.02,13.04,0.0,1.36,0.86,0.366,0.038,5
11434100,"Yogurt, whole milk, flavors other than fruit","Yogurt, regular",95,3.28,11.76,10.5,0.0,3.88,1.995,0.752,0.079,12
11434200,"Yogurt, low fat milk, flavors other than fruit","Yogurt, regular",82,4.51,13.02,13.04,0.0,1.36,0.86,0.366,0.038,5
11434300,"Yogurt, nonfat milk, flavors other than fruit","Yogurt, regular",47,3.64,7.94,7.6,0.0,0.08,0.1,0.042,0.004,3
